SalePrice,id
118637.014093,1461
147594.606308,1462
179008.513844,1463
197206.18388,1464
196760.975389,1465
164899.446061,1466
176080.253771,1467
162936.934335,1468
186379.109847,1469
119195.715866,1470
184327.007009,1471
97293.110099,1472
94750.4902093,1473
146141.517562,1474
109965.296453,1475
348317.407048,1476
247189.670024,1477
294132.311952,1478
294385.58971,1479
454128.024776,1480
334210.308101,1481
220164.715565,1482
177059.535251,1483
169528.369591,1484
206930.995995,1485
192650.214349,1486
326455.997053,1487
231923.069605,1488
183436.354601,1489
227324.025943,1490
201002.638931,1491
95744.6148812,1492
201267.181013,1493
290087.40757,1494
277380.173276,1495
228464.569831,1496
170307.242166,1497
174451.824381,1498
169674.393617,1499
157851.498558,1500
161253.387155,1501
148542.9621,1502
276382.556437,1503
238648.624277,1504
222727.697708,1505
185370.300316,1506
233640.141634,1507
203625.061702,1508
162040.846262,1509
143618.634884,1510
153056.690708,1511
168479.750908,1512
153565.301463,1513
152321.130598,1514
179889.242073,1515
154263.757433,1516
159419.125934,1517
127133.965018,1518
203774.749279,1519
129790.058302,1520
126498.347298,1521
175648.966509,1522
106900.313829,1523
120437.666988,1524
120691.908468,1525
109221.397016,1526
104883.804935,1527
133115.566177,1528
146116.970804,1529
189124.523307,1530
112659.61549,1531
102571.391676,1532
141162.134229,1533
127539.858899,1534
143694.914681,1535
108044.558338,1536
60983.2518302,1537
154840.660221,1538
182494.075422,1539
93984.5709443,1540
134946.094321,1541
126540.291543,1542
178272.314922,1543
91048.8498278,1544
115448.649226,1545
141132.056775,1546
131108.879752,1547
136215.572555,1548
119301.997063,1549
135294.360362,1550
106595.122831,1551
132132.662,1552
137676.090845,1553
118060.914366,1554
162033.457885,1555
93328.56103,1556
98057.3784583,1557
106495.27994,1558
80978.0700486,1559
134276.658913,1560
109827.331246,1561
132534.696796,1562
115143.542219,1563
150475.570896,1564
156174.936184,1565
224702.876624,1566
80518.3595297,1567
241051.548591,1568
135482.930463,1569
145951.854642,1570
107012.391629,1571
134327.71581,1572
221842.498324,1573
116596.16207,1574
223563.602013,1575
255530.793858,1576
178748.860046,1577
152116.535513,1578
143874.107748,1579
199844.065926,1580
160396.595987,1581
128290.614562,1582
278156.288531,1583
213602.315634,1584
134752.681938,1585
68145.2380176,1586
110506.042529,1587
149228.196801,1588
97848.2768142,1589
128066.025966,1590
87960.0213136,1591
114075.682373,1592
133086.649195,1593
119603.097794,1594
102615.07461,1595
212621.842124,1596
194492.241924,1597
234561.05536,1598
172326.098201,1599
169380.90942,1600
70911.9495227,1601
117422.788063,1602
94506.0897334,1603
250779.878519,1604
245824.092379,1605
170308.681838,1606
171170.202767,1607
224423.162204,1608
179640.050404,1609
150259.696128,1610
133107.413405,1611
169109.2553,1612
166906.828844,1613
128944.403663,1614
92616.6558636,1615
77472.6421494,1616
96539.1339186,1617
126101.074561,1618
149182.614501,1619
147144.017919,1620
136461.060771,1621
153561.421513,1622
271744.832989,1623
208664.148724,1624
117037.948477,1625
171995.916688,1626
192531.53442,1627
284375.966198,1628
185450.331639,1629
309358.852143,1630
221235.502302,1631
233656.777888,1632
187702.177682,1633
185919.46208,1634
173133.989606,1635
154107.091417,1636
188737.197239,1637
179905.913742,1638
187218.941864,1639
243601.051965,1640
176253.002695,1641
242824.494632,1642
208680.769797,1643
243139.078621,1644
188795.429853,1645
164805.405268,1646
161085.575374,1647
123948.892976,1648
139129.328824,1649
116649.795697,1650
122950.470731,1651
98346.5539073,1652
99531.3002138,1653
145110.960044,1654
134408.216482,1655
143130.783365,1656
146876.192216,1657
147324.144455,1658
119471.296013,1659
156813.119663,1660
420844.88595,1661
363341.311677,1662
361829.998748,1663
432246.391607,1664
302026.825329,1665
337026.378656,1666
373987.68431,1667
349914.526562,1668
313845.793803,1669
339995.115991,1670
264940.694327,1671
391456.427734,1672
294882.048221,1673
244129.069655,1674
205103.729998,1675
198154.290063,1676
221350.197334,1677
432266.007492,1678
371399.48812,1679
302586.056151,1680
245586.419789,1681
329985.640602,1682
186133.677182,1683
181924.326249,1684
180036.104769,1685
176387.787155,1686
180288.934941,1687
191024.475838,1688
198934.249509,1689
205718.321841,1690
195583.759538,1691
265307.989389,1692
186098.288033,1693
185598.367813,1694
173424.900233,1695
262396.426144,1696
177567.403534,1697
335019.181426,1698
317067.53097,1699
250957.98104,1700
262081.015769,1701
232054.854434,1702
233842.892071,1703
271580.525914,1704
249817.869368,1705
358313.651851,1706
202931.209776,1707
200434.787767,1708
266957.542323,1709
215174.32114,1710
278899.468457,1711
242655.948093,1712
271079.38022,1713
222715.528094,1714
203727.13733,1715
183233.561497,1716
180559.854987,1717
134990.746901,1718
213626.46886,1719
245006.057819,1720
165569.729067,1721
124372.324118,1722
159275.901721,1723
199941.587348,1724
240531.42644,1725
185000.378398,1726
151526.811547,1727
179171.221743,1728
173034.811563,1729
152285.180749,1730
122006.315624,1731
127447.187704,1732
113078.54249,1733
121896.966845,1734
127814.012471,1735
108185.18954,1736
282550.467467,1737
265531.750444,1738
222895.68461,1739
196398.238263,1740
182238.617859,1741
160296.824444,1742
178863.860519,1743
318690.290912,1744
209788.735144,1745
173899.570647,1746
215090.148014,1747
205844.324693,1748
141276.498989,1749
120363.765734,1750
249905.592321,1751
117269.937006,1752
141924.025975,1753
189291.113829,1754
162965.250594,1755
127929.84459,1756
122486.95099,1757
150500.339163,1758
155796.224259,1759
164716.729034,1760
140402.292771,1761
172251.509547,1762
187567.992678,1763
117398.419988,1764
153831.490772,1765
195623.372422,1766
212929.631005,1767
137024.846957,1768
177328.49362,1769
161598.73961,1770
127498.381757,1771
127585.850471,1772
124979.895519,1773
139720.599607,1774
143711.938255,1775
133560.993972,1776
109607.118223,1777
139095.259369,1778
121288.694904,1779
182713.644162,1780
126964.759931,1781
88950.6979607,1782
147079.631535,1783
109822.4037,1784
124377.906213,1785
135516.291053,1786
166862.620436,1787
62560.9384784,1788
102367.061577,1789
85799.3863957,1790
180595.439074,1791
147881.568453,1792
132865.051683,1793
159152.608722,1794
134721.511234,1795
135314.134239,1796
116115.863417,1797
121251.909374,1798
113112.969348,1799
133730.41595,1800
122101.14241,1801
132597.001576,1802
142656.237879,1803
134868.2819,1804
134138.189101,1805
127471.287525,1806
153206.587954,1807
125118.905414,1808
123981.133269,1809
141795.786199,1810
93543.2992232,1811
97284.4694143,1812
124761.524784,1813
101499.03826,1814
56981.6527408,1815
104324.647438,1816
108413.420024,1817
141050.369066,1818
119472.162174,1819
66998.0834012,1820
110002.370902,1821
162557.303471,1822
61157.238375,1823
135741.41797,1824
134898.356859,1825
105585.823146,1826
102991.254976,1827
132172.755899,1828
129495.772306,1829
148275.127432,1830
138585.043471,1831
71854.8625653,1832
140715.229432,1833
116519.356567,1834
108204.772881,1835
115809.699539,1836
88589.654266,1837
122818.255044,1838
106383.161262,1839
140575.679432,1840
134393.748963,1841
100163.307167,1842
129826.428453,1843
148154.279723,1844
155467.764648,1845
161864.989635,1846
169941.997308,1847
57493.6603124,1848
110060.382329,1849
118859.74944,1850
141836.779612,1851
125257.907614,1852
123316.883905,1853
164619.503277,1854
162266.9236,1855
236119.762661,1856
125359.286452,1857
131324.292069,1858
119103.864735,1859
145506.469031,1860
116106.692749,1861
330456.173628,1862
303537.152196,1863
303638.257106,1864
326349.075008,1865
333472.49355,1866
230431.888856,1867
281832.288267,1868
205093.052155,1869
228133.951193,1870
263809.215971,1871
183391.515465,1872
254144.876424,1873
147582.062923,1874
195353.717342,1875
197903.362438,1876
209744.101338,1877
202336.385456,1878
133508.8225,1879
130275.327244,1880
245931.043145,1881
241987.311133,1882
181642.983232,1883
